districtID,name,population,area,provinceID,municipalityType,last_updated
1101,ABANA,4461,28,37,0,2024-03-08 11:26:59
1102,ACIPAYAM,55406,1772,20,1,2024-03-08 11:26:18
1103,ADALAR,16325,11,34,1,2024-03-08 11:26:47
1104,SEYHAN,787771,444,1,1,2024-03-08 11:25:41
1105,MERKEZ,284839,1814,2,0,2024-03-08 11:25:42
1106,ADİLCEVAZ,29697,1586,13,0,2024-03-08 11:26:07
1107,AFŞİN,78152,1502,46,1,2024-03-08 11:26:55
1108,MERKEZ,324685,1261,3,0,2024-03-08 11:25:43
1109,AĞLASUN,7929,305,15,0,2024-03-08 11:26:10
1110,AĞIN,2834,242,23,0,2024-03-08 11:26:24
1111,MERKEZ,153709,1695,4,0,2024-03-08 11:25:45
1112,AHLAT,44475,1153,13,0,2024-03-08 11:26:08
1113,AKÇAABAT,129628,375,61,1,2024-03-08 11:27:51
1114,AKÇADAĞ,34322,1118,44,1,2024-03-08 11:27:16
1115,AKÇAKALE,127277,1038,63,1,2024-03-08 11:27:44
1116,AKÇAKOCA,41363,380,81,0,2024-03-08 11:26:22
1117,AKDAĞMADENİ,40842,1810,66,0,2024-03-08 11:27:57
1118,AKHİSAR,178812,1645,45,1,2024-03-08 11:27:18
1119,AKKUŞ,22456,697,52,1,2024-03-08 11:27:26
1120,MERKEZ,321160,3540,68,0,2024-03-08 11:25:46
1121,AKSEKİ,11896,1544,7,1,2024-03-08 11:25:52
1122,AKŞEHİR,92946,895,42,1,2024-03-08 11:27:11
1123,AKYAZI,96605,628,54,1,2024-03-08 11:27:32
1124,ALACA,29952,1296,19,0,2024-03-08 11:26:16
1125,ALAÇAM,25148,598,55,1,2024-03-08 11:27:35
1126,ALANYA,359891,1577,7,1,2024-03-08 11:25:53
1127,ALAŞEHİR,105397,971,45,1,2024-03-08 11:27:18
1128,ALİAĞA,106168,379,35,1,2024-03-08 11:26:51
1129,ALMUS,25116,1033,60,0,2024-03-08 11:27:49
1130,ALTINDAĞ,412267,123,6,1,2024-03-08 11:25:48
1131,ALTINÖZÜ,66533,392,31,1,2024-03-08 11:26:41
1132,ALTINTAŞ,15446,941,43,0,2024-03-08 11:27:14
1133,ALUCRA,10514,1138,28,0,2024-03-08 11:26:35
1134,MERKEZ,148908,1889,5,0,2024-03-08 11:25:47
1135,ANAMUR,66940,1430,33,1,2024-03-08 11:27:21
1136,ANDIRIN,32581,1202,46,1,2024-03-08 11:26:55
1139,ARABAN,33196,592,27,1,2024-03-08 11:26:32
1140,ARAÇ,18676,1446,37,0,2024-03-08 11:27:00
1141,ARAKLI,51124,464,61,1,2024-03-08 11:27:51
1142,ARALIK,19495,852,76,0,2024-03-08 11:26:43
1143,ARAPGİR,10641,987,44,1,2024-03-08 11:27:16
1144,MERKEZ,42209,1261,75,0,2024-03-08 11:25:55
1145,ARDANUÇ,11157,958,8,0,2024-03-08 11:25:56
1146,ARDEŞEN,42467,376,53,0,2024-03-08 11:27:31
1147,ARHAVİ,21746,407,8,0,2024-03-08 11:25:56
1148,ARGUVAN,7708,1096,44,1,2024-03-08 11:27:16
1149,ARPAÇAY,14670,1165,36,0,2024-03-08 11:26:58
1150,ARSİN,32717,157,61,1,2024-03-08 11:27:51
1151,ARTOVA,7469,444,60,0,2024-03-08 11:27:49
1152,MERKEZ,35929,1141,8,0,2024-03-08 11:25:56
1153,AŞKALE,21410,1507,25,1,2024-03-08 11:26:27
1154,ATABEY,6103,223,32,0,2024-03-08 11:26:44
1155,AVANOS,32682,995,50,0,2024-03-08 11:27:25
1156,AYANCIK,24473,862,57,0,2024-03-08 11:27:37
1157,AYAŞ,15581,1041,6,1,2024-03-08 11:25:48
1158,AYBASTI,20966,250,52,1,2024-03-08 11:27:27
1160,AYVACIK,35141,880,17,0,2024-03-08 11:26:14
1161,AYVALIK,74643,305,10,1,2024-03-08 11:25:59
1162,AZDAVAY,8031,759,37,0,2024-03-08 11:27:00
1163,BABAESKİ,46595,670,39,0,2024-03-08 11:27:06
1164,BAFRA,143109,1503,55,1,2024-03-08 11:27:35
1165,BAHÇE,23218,208,80,0,2024-03-08 11:27:29
1166,BAKIRKÖY,220476,29,34,1,2024-03-08 11:26:47
1167,BALA,28704,1851,6,1,2024-03-08 11:25:49
1169,BALYA,13000,797,10,1,2024-03-08 11:25:59
