villageID,name,villageType,provinceID,districtID,population
37520,ALACAMESCİT,0,81,1905,630
37522,BIÇKIBAŞI,0,81,1905,265
37523,ÇALILIK,0,81,1905,322
37524,DİKMELİ,0,81,1905,696
37526,ESENLİ,0,81,1905,650
37527,HIZARDERE,0,81,1905,203
37528,İSHAKLAR,0,81,1905,522
37529,KAFYAYLA,0,81,1905,143
37530,KARAÇÖRTLEN,0,81,1905,367
37531,KIRKHARMAN,0,81,1905,433
37532,KİRAZTARLA,0,81,1905,253
37533,KUŞOĞLU,0,81,1905,275
37534,PIRPIR,0,81,1905,1341
37535,SARIMEŞE,0,81,1905,575
37536,SÖĞÜTLÜ,0,81,1905,351
37537,TEPEKÖY,0,81,1905,377
37539,YENİKÖY,0,81,1905,286
37540,YENİVAKIF,0,81,1905,1100
37541,YUKARIKARAKÖY,0,81,1905,436
17525,AĞADEVE,0,36,1447,479
17526,AKBABA,0,36,1447,446
17527,AKDERE,0,36,1447,214
17578,ALACA,0,36,1447,374
17582,ALÇILI,0,36,1447,237
17567,ANİ,0,36,1447,403
17528,ARAZOĞLU,0,36,1447,164
17529,ARSLANİZİ,0,36,1447,120
17530,ATAKÖY,0,36,1447,291
17570,ATAYURT,0,36,1447,92
17584,AYAKGEDİKLER,0,36,1447,48
17531,AYDINALAN,0,36,1447,160
17532,AZAT,0,36,1447,300
17583,BAŞGEDİKLER,0,36,1447,243
17533,BAŞKAYA,0,36,1447,297
17585,BAYRAKTAR,0,36,1447,351
17586,BEKLER,0,36,1447,154
17534,BOĞATEPE,0,36,1447,230
17535,BOĞAZKÖY,0,36,1447,269
17536,BORLUK,0,36,1447,247
17537,BOZKALE,0,36,1447,405
17538,BULANIK,0,36,1447,98
17587,BÜYÜKAKÜZÜM,0,36,1447,63
17575,CUMHURİYET,0,36,1447,750
17539,ÇAĞLAYAN,0,36,1447,184
17540,ÇAKMAK,0,36,1447,654
17541,ÇAMURLU,0,36,1447,243
17542,ÇERME,0,36,1447,939
17543,ÇIĞIRGAN,0,36,1447,571
17544,ÇORAK,0,36,1447,83
17545,DAVUL,0,36,1447,20
17546,DERECİK,0,36,1447,796
17547,DİKME,0,36,1447,720
17548,ESENKENT,0,36,1447,322
17549,ESENYAZI,0,36,1447,373
17550,EŞMEYAZI,0,36,1447,557
17551,GELİRLİ,0,36,1447,347
17552,GÜDELİ,0,36,1447,203
17553,HACIHALİL,0,36,1447,261
17554,HACIVELİ,0,36,1447,385
17555,HALEFOĞLU,0,36,1447,2344
17588,HAMZAGEREK,0,36,1447,529
17556,HAPANLI,0,36,1447,101
17557,HASÇİFTLİK,0,36,1447,299
17558,KARACAÖREN,0,36,1447,236
17559,KARAÇOBAN,0,36,1447,382
17565,KARAKALE,0,36,1447,269
17560,KARAKAŞ,0,36,1447,252
17561,KOCABAHÇE,0,36,1447,453
17579,KOZLUCA,0,36,1447,102
17577,KÜÇÜKBOĞATEPE,0,36,1447,134
17589,KÜÇÜKPİRVELİ,0,36,1447,136
17562,KÜÇÜKYUSUF,0,36,1447,365
17590,KÜLVEREN,0,36,1447,150
17563,KÜMBETLİ,0,36,1447,1356
17564,MAKSUTÇUK,0,36,1447,231
17566,MEZRAA,0,36,1447,367
17591,OĞUZLU,0,36,1447,225
17592,ORTAGEDİKLER,0,36,1447,169
17568,ÖLÇÜLÜ,0,36,1447,1437
17569,SOYLU,0,36,1447,303
17580,SÖĞÜTLÜ,0,36,1447,260
17571,SUBATAN,0,36,1447,630
17593,TAZEKENT,0,36,1447,102
17572,TEKNELİ,0,36,1447,363
17581,ÜÇBÖLÜK,0,36,1447,75
17573,VERİMLİ,0,36,1447,268
17594,YAĞIKESEN,0,36,1447,131
17595,YALÇINLAR,0,36,1447,110
17574,YALINKAYA,0,36,1447,629
17596,YILANLI,0,36,1447,85
17576,YÜCELEN,0,36,1447,238
9371,AKKAYA,0,19,1911,260
9360,ALPAGUT,0,19,1911,558
9361,AYVAKÖY,0,19,1911,188
9362,BERKKÖY,0,19,1911,199
9363,ÇİFTLİKKÖY,0,19,1911,268
9364,DİKENLİ,0,19,1911,577
9370,KİRENCİ,0,19,1911,155
9365,KUYUCAK,0,19,1911,98
9366,MEHMETDEDEOBRUĞU,0,19,1911,265
9367,MEHMETDEDETEKKESİ,0,19,1911,174
9368,TUTUŞ,0,19,1911,320
